product_name,image,cat_l0,cat_l1,cat_l2,cat_l3,barcode,brand,manufacturer,capacity,effect,price,source,href
Bột giặt Omo sạch bẩn khử mùi công nghệ giặt xanh – đỏ/hộp giấy thơm mát Túi 2.9g,,,Nhà cửa và đời sống,Giặt xả,Bột giặt,,Omo,,,,149500,,https://cooponline.vn/products/bot-giat-omo-sach-ban-khu-mui-cong-nghe-giat-xanh-2-9kg/,
Bột giặt Omo sạch bẩn khử mùi công nghệ giặt xanh – đỏ/hộp giấy thơm mát Túi 770g,,,Nhà cửa và đời sống,Giặt xả,Bột giặt,,Omo,,,,43000,,https://cooponline.vn/products/bot-giat-omo-do-770g/,
Bột giặt Omo sạch bẩn khử mùi công nghệ giặt xanh – đỏ/hộp giấy thơm mát Túi 380g,,,Nhà cửa và đời sống,Giặt xả,Bột giặt,,Omo,,,,22000,,https://cooponline.vn/products/bot-giat-omo-sach-ban-khu-mui-cong-nghe-giat-xanh-380g/,
Bột giặt Omo Comfort tinh dầu thơm sang trọng bền lâu Túi 5.1kg,,,Nhà cửa và đời sống,Giặt xả,Bột giặt,,Omo,,,,229900,,https://cooponline.vn/products/bot-giat-omo-comfort-tinh-dau-thom-sang-trong-ben-lau-5-1kg/,268000
Bột giặt sạch thơm Coop Happy 9kg,,,Nhà cửa và đời sống,Giặt xả,Bột giặt,,Coop Happy,,,,205000,,https://cooponline.vn/products/bot-giat-sach-thom-coop-happy-9kg/,229000
Bột giặt Surf trắng sạch hương nước hoa duyên dáng túi 5.3kg,,,Nhà cửa và đời sống,Giặt xả,Bột giặt,,Surf,,,,197000,,https://cooponline.vn/products/bot-giat-surf-trang-sach-huong-nuoc-hoa-duyen-dang-tui-5-3kg/,
Bột giặt nhiệt Aba sạch tinh tươm 770kg/800g,,,Nhà cửa và đời sống,Giặt xả,Bột giặt,,Aba,,,,32500,,https://cooponline.vn/products/bot-giat-nhiet-aba-sach-tinh-tuom-800g/,42000
Bột giặt nhiệt Aba sạch tinh tươm 2.9kg/3kg,,,Nhà cửa và đời sống,Giặt xả,Bột giặt,,Aba,,,,144000,,https://cooponline.vn/products/bot-giat-nhiet-aba-sach-tinh-tuom-3kg/,
Bột Giặt Nhiệt Aba Nước Hoa 4kg/4.1Kg,,,Nhà cửa và đời sống,Giặt xả,Bột giặt,,Aba,,,,203000,,https://cooponline.vn/products/bot-giat-nhiet-aba-nuoc-hoa-41kg/,
Bột Giặt Tide hương Downy 5Kg,,,Nhà cửa và đời sống,Giặt xả,Bột giặt,,P&G,,,,191000,,https://cooponline.vn/products/bot-giat-tide-huong-downy-5kg/,230000
Bột giặt nhiệt sạch tinh tươm ABA 5.7kg/6kg,,,Nhà cửa và đời sống,Giặt xả,Bột giặt,,Aba,,,,199900,,https://cooponline.vn/products/bot-giat-nhiet-aba-6-kg/,264000
Dép nhựa nam HELI DT-3868,,,Nhà cửa và đời sống,"Trang phục, phụ kiện","Giày, dép, vớ",,Heli,,,,89000,,https://cooponline.vn/products/dep-nhua-nam-heli-dt-3868/,
Dép nhựa nam HELI DT-3869,,,Nhà cửa và đời sống,"Trang phục, phụ kiện","Giày, dép, vớ",,Heli,,,,99000,,https://cooponline.vn/products/dep-nhua-nam-heli-dt-3869/,
Vớ ngắn nam Bizmen CSP05,,,Nhà cửa và đời sống,"Trang phục, phụ kiện","Giày, dép, vớ",,BIZMEN,,,,29900,,https://cooponline.vn/products/vo-ngan-nam-bizmen-csp05/,39300
Vớ nữ ngắn 16AE23A033 – 3 đôi,,,Nhà cửa và đời sống,"Trang phục, phụ kiện","Giày, dép, vớ",,,,,,99000,,https://cooponline.vn/products/vo-nu-ngan-16ae23a033-3-doi/,
Vớ nam trung 18AE23A003 – 3 đôi,,,Nhà cửa và đời sống,"Trang phục, phụ kiện","Giày, dép, vớ",,,,,,99000,,https://cooponline.vn/products/vo-nam-trung-18ae23a003-3-doi/,
Vớ nam ngắn 18AP23A203 – 3 đôi,,,Nhà cửa và đời sống,"Trang phục, phụ kiện","Giày, dép, vớ",,,,,,99000,,https://cooponline.vn/products/vo-nam-ngan-18ap23a203-3-doi/,
Vớ dài nữ 72,,,Nhà cửa và đời sống,"Trang phục, phụ kiện","Giày, dép, vớ",,,,,,23000,,https://cooponline.vn/products/vo-dai-nu-72/,
Vớ ngắn nam Bizmen CSP07,,,Nhà cửa và đời sống,"Trang phục, phụ kiện","Giày, dép, vớ",,BIZMEN,,,,29900,,https://cooponline.vn/products/vo-ngan-nam-bizmen-csp07/,39300
Vớ ngắn nam BO-03,,,Nhà cửa và đời sống,"Trang phục, phụ kiện","Giày, dép, vớ",,BIZMEN,,,,35000,,https://cooponline.vn/products/vo-ngan-nam-bo-03/,47100
Dép nhựa nữ Heli DT 3542,,,Nhà cửa và đời sống,"Trang phục, phụ kiện","Giày, dép, vớ",,Diệp Tuấn,,,,65000,,https://cooponline.vn/products/dep-nhua-nu-heli-dt-3542/,
Vớ nữ ngắn sọc Coop Select,,,Nhà cửa và đời sống,"Trang phục, phụ kiện","Giày, dép, vớ",,Coop Select,,,,20500,,https://cooponline.vn/products/vo-nu-ngan-soc-coop-select/,
Dép tổ ong người lớn Heli – DT 3816,,,Nhà cửa và đời sống,"Trang phục, phụ kiện","Giày, dép, vớ",,,,,,89000,,https://cooponline.vn/products/dep-to-ong-nguoi-lon-heli-dt-3816/,
Vớ ngắn nam Bizsoks BS,,,Nhà cửa và đời sống,"Trang phục, phụ kiện","Giày, dép, vớ",,,,,,27500,,https://cooponline.vn/products/vo-ngan-nam-bizsoks-bs/,
Vớ nam ngắn CR406,,,Nhà cửa và đời sống,"Trang phục, phụ kiện","Giày, dép, vớ",,,,,,41200,,https://cooponline.vn/products/vo-nam-ngan-cr406/,
Vớ nam ngắn CR901,,,Nhà cửa và đời sống,"Trang phục, phụ kiện","Giày, dép, vớ",,,,,,41200,,https://cooponline.vn/products/vo-nam-ngan-cr901/,
Vớ nam ngắn CR003,,,Nhà cửa và đời sống,"Trang phục, phụ kiện","Giày, dép, vớ",,,,,,41200,,https://cooponline.vn/products/vo-nam-ngan-cr003/,
